Joueur;Equipe;Statut;Position;Age;2025-26;2026-27;2027-28;2028-29;2029-30
Komarov, Vsevolod;BUF;ELC;RD;22;835000;835000;RFA;0;0
Wahlberg, Anton;BUF;ELC;C,LW;20;833333;833333;833333;RFA;0
Levi, Devon;BUF;;G;24;812500;812500;RFA;0;0
Rathbone, Jack;BUF;;D;26;800000;800000;UFA;0;0
Kozak, Tyson;BUF;;C,LW;23;775000;775000;775000;RFA;0
Dunne, Joshua;BUF;;C,LW;27;775000;UFA;0;0;0
Metsa, Zach;BUF;;RD,LD;27;775000;775000;UFA;0;0
Ellis, Colten;BUF;;G;25;775000;775000;RFA;0;0
Leschyshyn, Jake;BUF;;C;27;775000;UFA;0;0;0
Meyer, Carson;BUF;;RW,LW;28;775000;775000;UFA;0;0
Kuntar, Trevor;BUF;;C,LW;24;775000;0;0;0;0
Geertsen, Mason;BUF;;LW,D;30;775000;775000;UFA;0;0
Bayreuther, Gavin;BUF;;D;31;775000;UFA;0;0;0
Johnson, Ryan;BUF;;LD;24;775000;775000;775000;RFA;0
McCarthy, Gavin;BUF;;D;20;RFA;1007500;1007500;1007500;0
Aho, Sebastian;CAR;;C;28;9750000;9750000;9750000;9750000;9750000
Ehlers, Nikolaj;CAR;;LW;30;8500000;8500000;8500000;8500000;8500000
Svechnikov, Andrei;CAR;;LW,RW;25;7750000;7750000;7750000;7750000;UFA
Miller, K'Andre;CAR;;LD;26;7500000;7500000;7500000;7500000;7500000
Jarvis, Seth;CAR;;RW,LW;24;7420087;7420087;7420087;7420087;7420087
Slavin, Jaccob;CAR;;LD;31;6396062;6396062;6396062;6396062;6396062
Kotkaniemi, Jesperi;CAR;;C,LW;25;4820000;4820000;4820000;4820000;4820000
Walker, Sean;CAR;;RD,LD;31;3600000;3600000;3600000;3600000;UFA
Gostisbehere, Shayne;CAR;;LD;32;3200000;3200000;UFA;0;0
Hall, Taylor;CAR;;LW;34;3166667;3166667;3166667;UFA;0
Martinook, Jordan;CAR;;LW;33;3050000;3050000;UFA;0;0
Chatfield, Jalen;CAR;;RD;29;3000000;3000000;UFA;0;0
Staal, Jordan;CAR;;C;37;2900000;2900000;UFA;0;0
Andersen, Frederik;CAR;;G;36;2750000;UFA;0;0;0
Kochetkov, Pyotr;CAR;;G;26;2000000;2000000;UFA;0;0
Valimaki, Juuso;CAR;;LD;27;2000000;UFA;0;0;0
Carrier, William;CAR;;LW,RW;31;2000000;2000000;2000000;2000000;2000000
Deslauriers, Nicolas;CAR;;LW;35;1750000;UFA;0;0;0
Robinson, Eric;CAR;;LW,RW;30;1700000;1700000;1700000;1700000;UFA
Reilly, Mike;CAR;;LD,RD;32;1100000;UFA;0;0;0
Nystrom, Joel;CAR;ELC;RD;23;925000;1225000;1225000;1225000;1225000
Nikishin, Alexander;CAR;ELC;LD;24;925000;RFA;0;0;0
Ryabkin, Ivan;CAR;ELC;C;18;918333;918333;918333;RFA;0
Nadeau, Bradly;CAR;ELC;W,C;20;918333;918333;RFA;0;0
Legault, Charles-Alexis;CAR;ELC;RD;22;915833;915833;RFA;0;0
Blake, Jackson;CAR;ELC;RW;22;905833;5117002;5117002;5117002;5117002
Neuchev, Viktor;CAR;ELC;LW,RW;22;870000;RFA;0;0;0
Masters, Kyle;CAR;ELC;D;22;865000;RFA;0;0;0
Trikozov, Gleb;CAR;ELC;LW;21;862500;862500;RFA;0;0
Montgomery, Bryce;CAR;ELC;D;23;854910;854910;RFA;0;0
Khazheyev, Ruslan;CAR;ELC;G;21;845000;845000;RFA;0;0
Badinka, Dominik;CAR;ELC;D;20;837700;837700;837700;RFA;0
Robidas, Justin;CAR;ELC;C;23;825000;RFA;0;0;0
Stankoven, Logan;CAR;ELC;C,RW;23;814167;6000000;6000000;6000000;6000000
Gunler, Noel;CAR;;RW;24;813750;RFA;0;0;0
Seeley, Ronan;CAR;;D;23;813750;RFA;0;0;0
Heimosalmi, Aleksi;CAR;ELC;D;22;805833;RFA;0;0;0
Unger Sörum, Felix;CAR;ELC;RW;20;803334;803334;803334;RFA;0
Jankowski, Mark;CAR;;C;31;800000;UFA;0;0;0
Bussi, Brandon;CAR;;G;27;775000;1900000;1900000;1900000;UFA
Smith, Givani;CAR;;RW,LW;28;775000;UFA;0;0;0
Brind'Amour, Skyler;CAR;;C;26;775000;RFA;0;0;0
Jaaska, Juha;CAR;;LW,RW;28;775000;775000;UFA;0;0
Slavin, Josiah;CAR;;LW;27;775000;UFA;0;0;0
Suzuki, Ryan;CAR;;C;24;775000;0;0;0;0
Philp, Noah;CAR;;C,RW;27;775000;UFA;0;0;0
Fensore, Domenick;CAR;;LD;24;775000;RFA;0;0;0
Primeau, Cayden;CAR;;G;26;775000;UFA;0;0;0
Miftakhov, Amir;CAR;;G;25;775000;0;0;0;0
Quapp, Nikita;CAR;ELC;G;23;775000;RFA;0;0;0
Werenski, Zach;CBJ;;LD;28;9583333;9583334;9583334;UFA;0
Provorov, Ivan;CBJ;;LD,RD;29;8500000;8500000;8500000;8500000;8500000
Severson, Damon;CBJ;;LD,RD;31;6250000;6250000;6250000;6250000;6250000
Monahan, Sean;CBJ;;C;31;5500000;5500000;5500000;5500000;UFA
Merzlikins, Elvis;CBJ;;G;31;5400000;5400000;UFA;0;0
Coyle, Charlie;CBJ;;C,RW;34;5250000;UFA;0;0;0
Garland, Conor;CBJ;;RW,LW;30;4950000;6000000;6000000;6000000;6000000
Marchment, Mason;CBJ;;LW,C;30;4500000;UFA;0;0;0
Voronkov, Dmitri;CBJ;;C,LW;25;4175000;4175000;RFA;0;0
Fabbro, Dante;CBJ;;RD,LD;27;4125000;4125000;4125000;4125000;UFA
Gudbranson, Erik;CBJ;;RD;34;4000000;UFA;0;0;0
Marchenko, Kirill;CBJ;;RW,LW;25;3850000;3850000;RFA;0;0
Jenner, Boone;CBJ;;C,LW;32;3750000;UFA;0;0;0
Fedotov, Ivan;CBJ;;G;29;3275000;UFA;0;0;0
Olivier, Mathieu;CBJ;;RW,LW;29;3000000;3000000;3000000;3000000;3000000
Wood, Miles;CBJ;;LW;30;2500000;2500000;2500000;2500000;UFA
Heinen, Danton;CBJ;;LW,C;30;2250000;UFA;0;0;0
Sillinger, Cole;CBJ;;C,LW;22;2250000;RFA;0;0;0
Johnson, Kent;CBJ;;LW,RW;23;1800000;1800000;RFA;0;0
Lundestrom, Isac;CBJ;;C,LW;26;1300000;1300000;UFA;0;0
Zamula, Yegor;CBJ;;LD,RD;25;1000000;RFA;0;0;0
Christiansen, Jake;CBJ;;LD;26;975000;975000;UFA;0;0
Fantilli, Adam;CBJ;ELC;C;21;950000;RFA;0;0;0
Ceulemans, Corson;CBJ;ELC;D;22;925000;RFA;0;0;0
Williams, Jack;CBJ;ELC;RW,C;24;923750;RFA;0;0;0
MacDonald, Caleb;CBJ;ELC;D;23;922500;922500;RFA;0;0
Elick, Charlie;CBJ;ELC;D;20;906667;906667;906667;RFA;0
Wennberg, Alexander;CBJ;;C,LW;31;891667;0;0;0;0
Mateychuk, Denton;CBJ;ELC;LD,RD;21;886666;886666;RFA;0;0
Gardner, Evan;CBJ;ELC;G;20;870833;870833;870833;RFA;0
Richard, Guillaume;CBJ;ELC;D;23;867500;867500;RFA;0;0
Keskinen, Oiva;CBJ;ELC;C;22;860000;860000;860000;RFA;0
Dumais, Jordan;CBJ;ELC;RW;21;859999;859999;RFA;0;0
Del Bel Belluz, Luca;CBJ;ELC;C,LW;22;859999;859999;RFA;0;0
McCue, Max;CBJ;ELC;C;23;858333;858333;RFA;0;0
Pinelli, Luca;CBJ;ELC;C;20;846666;846666;846666;RFA;0
Malatesta, James;CBJ;ELC;LW,C;22;841666;RFA;0;0;0
Marrelli, Luca;CBJ;ELC;D;20;838889;838889;838889;RFA;0
Svozil, Stanislav;CBJ;ELC;D;23;825000;RFA;0;0;0
Greaves, Jet;CBJ;;G;24;812500;RFA;0;0;0
Smith, Brendan;CBJ;;D;37;800000;UFA;0;0;0
McKown, Hunter;CBJ;;C;23;800000;RFA;0;0;0
Lalonde, Nolan;CBJ;ELC;G;22;785556;785556;RFA;0;0
Sillinger, Owen;CBJ;;C,LW;28;775000;UFA;0;0;0
Gaunce, Brendan;CBJ;;C,LW;31;775000;UFA;0;0;0
Fasching, Hudson;CBJ;;RW;30;775000;UFA;0;0;0
Aston-Reese, Zach;CBJ;;LW;31;775000;UFA;0;0;0
Pyyhtia, Mikael;CBJ;;LW,RW;24;775000;RFA;0;0;0
Sawchenko, Zachary;CBJ;;G;28;775000;UFA;0;0;0
Mayo, Dysin;CBJ;;RD;29;775000;UFA;0;0;0
Boqvist, Adam;CBJ;;RD;25;533333;0;0;0;0
Berni, Tim;CBJ;;LD,RD;26;RFA;0;0;0;0
Huberdeau, Jonathan;CGY;;LW;32;10500000;10500000;10500000;10500000;10500000
Coronato, Matt;CGY;;RW,LW;23;6500000;6500000;6500000;6500000;6500000
Sharangovich, Yegor;CGY;;C,LW;27;5750000;5750000;5750000;5750000;5750000
Bahl, Kevin;CGY;;LD;25;5350000;5350000;5350000;5350000;5350000
Strome, Ryan;CGY;;C;32;5000000;5000000;UFA;0;0
Farabee, Joel;CGY;;LW,RW;26;5000000;5000000;5000000;UFA;0
Coleman, Blake;CGY;;LW,RW;34;4900000;4900000;UFA;0;0
Backlund, Mikael;CGY;;C;37;4500000;3250000;3250000;UFA;0
Frost, Morgan;CGY;;C;26;4375000;4375000;UFA;0;0
Zary, Connor;CGY;;C,LW;24;3775000;3775000;3775000;RFA;0
Maatta, Olli;CGY;;LD,RD;31;3500000;3500000;3500000;UFA;0
Whitecloud, Zach;CGY;;RD;29;2750000;2750000;2750000;UFA;0
Andersson, Rasmus;CGY;;RD;29;2275000;0;0;0;0
Lomberg, Ryan;CGY;;LW;31;2000000;UFA;0;0;0
Markstrom, Jacob;CGY;;G;36;1875000;0;0;0;0
Hanley, Joel;CGY;;LD;34;1750000;1750000;UFA;0;0
Bean, Jake;CGY;;LD;27;1750000;UFA;0;0;0
Olofsson, Victor;CGY;;LW,RW;30;1575000;UFA;0;0;0
Kadri, Nazem;CGY;;C;35;1400000;1400000;1400000;1400000;0
Klapka, Adam;CGY;;RW,LW;25;1250000;1250000;RFA;0;0
Miromanov, Daniil;CGY;;RD;28;1250000;UFA;0;0;0
Pachal, Brayden;CGY;;RD;26;1187500;1187500;UFA;0;0
Pospisil, Martin;CGY;;C,LW;26;1000000;2500000;2500000;2500000;UFA
Gross, Tyson;CGY;ELC;;23;975000;975000;RFA;0;0
Prosvetov, Ivan;CGY;;G;27;950000;UFA;0;0;0
Brzustewicz, Hunter;CGY;ELC;RD;21;950000;950000;RFA;0;0
Gridin, Matvei;CGY;ELC;RW,LW;20;942500;942500;942500;RFA;0
Parekh, Zayne;CGY;ELC;RD;20;942500;942500;942500;RFA;0
Suniev, Aydar;CGY;ELC;LW;21;923333;923333;RFA;0;0
Strömgren, William;CGY;ELC;LW,RW;22;900833;RFA;0;0;0
Kirkland, Justin;CGY;;C,LW;29;900000;UFA;0;0;0
Beecher, John;CGY;;C,LW;24;900000;RFA;0;0;0
Honzek, Samuel;CGY;ELC;LW,C;21;886666;886666;886666;RFA;0
King, Carter;CGY;ELC;;24;872500;RFA;0;0;0
Say, Owen;CGY;ELC;G;24;872500;RFA;0;0;0
Morin, Etienne;CGY;ELC;D;21;871666;871666;871666;RFA;0
Sergeyev, Arseni;CGY;ELC;G;23;866250;866250;RFA;0;0
Basha, Andrew;CGY;ELC;LW;20;865000;865000;865000;RFA;0
Othmann, Brennan;CGY;ELC;LW;23;863333;RFA;0;0;0
Bell, Parker;CGY;ELC;LW,RW;22;857500;RFA;0;0;0
White, Gavin;CGY;ELC;D;23;857500;RFA;0;0;0
Wolf, Dustin;CGY;;G;24;850000;7500000;7500000;7500000;7500000
Ciona, Lucas;CGY;ELC;LW,RW;23;830000;RFA;0;0;0
Hunt, Dryden;CGY;;LW,RW;30;825000;825000;UFA;0;0
Grushnikov, Artyom;CGY;ELC;D;22;814167;RFA;0;0;0
Kuznetsov, Yan;CGY;;LD;24;812500;812500;RFA;0;0
Cooley, Devin;CGY;;G;28;775000;1350000;1350000;UFA;0
Bishop, Clark;CGY;;C,LW;29;775000;UFA;0;0;0
Morton, Sam;CGY;;C,LW;26;775000;RFA;0;0;0
Kerins, Rory;CGY;;C,LW;23;775000;RFA;0;0;0
Cicek, Nick;CGY;;D;25;775000;0;0;0;0
Okhotyuk, Nikita;CGY;;D;25;RFA;0;0;0;0
Weber, Shea;CHI;;D;40;7857143.0;UFA;0;0;0
Ellis, Ryan;CHI;;D;35;6250000.0;6250000;UFA;0;0
Burakovsky, Andre;CHI;;LW,RW;31;5500000.0;5500000;UFA;0;0
Bertuzzi, Tyler;CHI;;LW,RW;31;5500000.0;5500000;5500000;UFA;0
Teravainen, Teuvo;CHI;;LW;31;5400000.0;5400000;UFA;0;0
Vlasic, Alex;CHI;;LD;24;4600000.0;4600000;4600000;4600000;4600000
Knight, Spencer;CHI;;G;24;4500000.0;5833333;5833333;5833333;UFA
Mikheyev, Ilya;CHI;;RW,LW;31;4037500.0;UFA;0;0;0
Donato, Ryan;CHI;;LW,C;29;4000000.0;4000000;4000000;4000000;UFA
Mangiapane, Andrew;CHI;;LW,RW;29;3600000.0;3600000;UFA;0;0
Brodie, TJ;CHI;;D;35;3233333.0;258333;0;0;0
Soderblom, Arvid;CHI;;G;26;2750000.0;2750000;UFA;0;0
Jones, Seth;CHI;;RD;31;2500000.0;2500000;2500000;2500000;2500000
Murphy, Connor;CHI;;RD;32;2200000.0;0;0;0;0
Dickinson, Jason;CHI;;C,LW;30;2125000.0;0;0;0;0
Lafferty, Sam;CHI;;RW,C;31;2000000.0;UFA;0;0;0
Kaiser, Wyatt;CHI;;LD;23;1700000.0;1700000;RFA;0;0
Performance Bonus Cushion Excess;CHI;;;;1281589.0;0;0;0;0
Grzelcyk, Matt;CHI;;LD;32;1000000.0;UFA;0;0;0
Frondell, Anton;CHI;ELC;C;18;975000.0;975000;975000;RFA;0
Levshunov, Artyom;CHI;ELC;RD;20;975000.0;975000;RFA;0;0
Berezhnoy, Stanislav;CHI;ELC;G;22;975000.0;975000;RFA;0;0
Boisvert, Sacha;CHI;ELC;C;20;974167.0;974167;974167;RFA;0
Nazar, Frank;CHI;ELC;C,RW;22;950000.0;6599991;6599991;6599991;6599991
Greene, Ryan;CHI;ELC;C,LW;22;950000.0;950000;RFA;0;0
Bedard, Connor;CHI;ELC;C;20;950000.0;RFA;0;0;0
Vanacker, Marek;CHI;ELC;LW;19;942500.0;942500;942500;RFA;0
Moore, Oliver;CHI;ELC;C,LW;21;941667.0;941667;RFA;0;0
Rinzel, Sam;CHI;ELC;RD;21;941667.0;941667;RFA;0;0
Commesso, Drew;CHI;ELC;G;23;925000.0;RFA;0;0;0
Korchinski, Kevin;CHI;ELC;LD;21;918333.0;RFA;0;0;0
Crevier, Louis;CHI;;RD;24;900000.0;900000;RFA;0;0
Slaggert, Landon;CHI;;LW,C;23;900000.0;900000;RFA;0;0
Ludwinski, Paul;CHI;ELC;C,LW;21;900000.0;900000;RFA;0;0
Harding, Taige;CHI;ELC;D;24;880000.0;880000;RFA;0;0
Misiak, Martin;CHI;ELC;W;21;878333.0;878333;RFA;0;0
Spellacy, AJ;CHI;ELC;RW,C;20;874167.0;874167;874167;RFA;0
Lardis, Nick;CHI;ELC;LW;20;865000.0;865000;865000;RFA;0
Hayes, Gavin;CHI;ELC;LW,RW;21;865000.0;865000;RFA;0;0
Del Mastro, Ethan;CHI;ELC;LD;23;855833.0;RFA;0;0;0
Toninato, Dominic;CHI;;C;32;850000.0;850000;UFA;0;0
Savoie, Samuel;CHI;ELC;LW,C;21;846666.0;846666;RFA;0;0
Furlong, Jake;CHI;ELC;D;22;841666.0;841666;RFA;0;0
Mast, Ryan;CHI;ELC;D;23;830556.0;RFA;0;0;0
Anderson, Joey;CHI;;RW,LW;27;800000.0;UFA;0;0;0
Kuzmin, Dmitri;CHI;ELC;D;22;795556.0;RFA;0;0;0
Pouliot, Derrick;CHI;;D;32;775000.0;775000;UFA;0;0
Rodrigue, Olivier;CHI;;G;25;775000.0;0;0;0;0
undefined, undefined;CHI;;;;;;;;
MacKinnon, Nathan;COL;;C;30;12600000;12600000;12600000;12600000;12600000
Makar, Cale;COL;;RD;27;9000000;9000000;UFA;0;0
Nelson, Brock;COL;;C;34;7500000;7500000;7500000;UFA;0
Toews, Devon;COL;;LD;32;7250000;7250000;7250000;7250000;7250000
Landeskog, Gabriel;COL;;LW,RW;33;7000000;7000000;7000000;7000000;UFA
Necas, Martin;COL;;C,RW;27;6500000;11500000;11500000;11500000;11500000
Nichushkin, Valeri;COL;;RW;31;6125000;6125000;6125000;6125000;6125000
Kadri, Nazem;COL;;C;35;5600000;5600000;5600000;5600000;UFA
Blackwood, MacKenzie;COL;;G;29;5250000;5250000;5250000;5250000;5250000
Lehkonen, Artturi;COL;;LW,RW;30;4500000;4500000;UFA;0;0
Manson, Josh;COL;;RD,LD;34;4500000;3950000;3950000;UFA;0
Colton, Ross;COL;;LW,C;29;4000000;4000000;UFA;0;0
Roy, Nicolas;COL;;C,RW;29;3000000;3000000;UFA;0;0
Kulak, Brett;COL;;LD;32;2750000;UFA;0;0;0
O'Connor, Logan;COL;;RW;29;2500000;2500000;2500000;2500000;2500000
Drury, Jack;COL;;C;26;1725000;RFA;0;0;0
Wedgewood, Scott;COL;;G;33;1500000;2500000;UFA;0;0
Malinski, Sam;COL;;LD,RD;27;1400000;4750000;4750000;4750000;4750000
Kiviranta, Joel;COL;;LW,RW;29;1250000;UFA;0;0;0
Burns, Brent;COL;;RD;41;1000000;UFA;0;0;0
Nabokov, Ilya;COL;ELC;G;22;975000;975000;RFA;0;0
Brindley, Gavin;COL;ELC;RW;21;950000;875000;875000;RFA;0
Makar, Taylor;COL;ELC;LW,C;25;925000;RFA;0;0;0
Gagne, Alex;COL;ELC;D;23;910000;910000;RFA;0;0
Behrens, Sean;COL;ELC;D;22;905833;905833;RFA;0;0
Bradley, Chase;COL;ELC;LW,C;24;872500;RFA;0;0;0
